"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","R3BBV1",0,10.9234487277916,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","8PHUQL",1,7.73074588715065,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","VRSDUM",1,0.694589194695447,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","9YJWKX",2,1.74306813865782,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7VEH10","__dup_7VEH10_1","T5S3BR",4,19.2259270510525,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7WQYLL","__dup_7WQYLL_2","5LG839",4,17.8816870630943,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7WQYLL","__dup_7WQYLL_3","1TGPDW",4,6.67907030181858,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7WQYLL","__dup_7WQYLL_3","5LG839",4,18.1345984953743,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","7WQYLL","__dup_7WQYLL_3","__dup_JE4WD7_1",4,15.3875169951129,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","7WQYLL","__dup_7WQYLL_3","__dup_81MJXH_2",5,14.0973126444562,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_EFZPSL_1","EFZPSL","31UG06",2,10.2998408061707,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_EFZPSL_1","EFZPSL","P2VQJR",1,7.91817692071303,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_EFZPSL_1","EFZPSL","1TGPDW",4,22.5989553927622,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_EFZPSL_1","EFZPSL","__dup_79RXRZ_1",3,5.56511489983482,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_EFZPSL_1","EFZPSL","__union_28",0,5.97785085970291,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","5LXR2A","__dup_5LXR2A_1","__dup_JE4WD7_1",4,13.6886503034718,25,NA,"individual-duplicate-duplicate"
