"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","BCH8AH",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","WDUGSA",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","S0022Z",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","JB7EW2",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","XEE9GT",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","RYP77M",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","P2VQJR",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","GTKL5Z",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","SNHNX6",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","D0Z114",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","D1WP48",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","D472PY",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","79QBRD",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","G3XCSE",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","6XYG9B",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","L8CMNE",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","__dup_RYP77M_1",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","__dup_C6E1D9_1",1,18,25,NA,"waypoint-waypoint-duplicate"
